month,City,Air_code,State,Airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
1,Islip,ISP,NY,Long Island MacArthur,378,73,26.47,0.41,7.65,0.27,38.19,9,3,3140,1244,9,230,16,1641
1,Ithaca/Cortland,ITH,NY,Ithaca Tompkins Regional,58,9,2.82,0,3.43,0,2.76,1,0,772,307,0,148,0,317
1,Jackson,JAC,WY,Jackson Hole,341,81,22.9,7.95,28.54,0,21.62,10,5,7600,2744,2046,1158,0,1652
1,Jackson/Vicksburg,JAN,MS,Jackson Medgar Wiley Evers International,356,64,27.48,4.23,8.41,0,23.88,21,0,4529,1783,382,365,0,1999
1,Jacksonville,JAX,FL,Jacksonville International,1354,240,86.01,10.98,46.22,1.11,95.69,9,2,14583,4535,1471,2052,76,6449
1,Jacksonville/Camp Lejeune,OAJ,NC,Albert J Ellis,87,18,12.24,0,1.31,0,4.44,2,1,2524,2083,0,101,0,340
1,Jamestown,JMS,ND,Jamestown Regional,83,14,3.38,0.92,4.29,0,5.42,6,5,987,355,76,189,0,367
1,Juneau,JNU,AK,Juneau International,325,41,10.19,2.81,10.62,0,17.37,7,6,2961,550,100,348,0,1963
1,Kahului,OGG,HI,Kahului Airport,1988,340,144.44,10.28,106.41,0.97,77.9,6,7,17047,8375,700,3626,43,4303
1,Kalamazoo,AZO,MI,Kalamazoo/Battle Creek International,153,31,12.76,4,7.92,0,6.33,11,0,3850,1111,1870,315,0,554
1,Kalispell,FCA,MT,Glacier Park International,177,30,4.74,1.53,12.16,0,11.57,2,2,2019,202,458,409,0,950
1,Kansas City,MCI,MO,Kansas City International,3560,666,199.88,17.15,142.51,0.55,305.88,104,3,36670,11168,3562,5377,10,16553
1,Ketchikan,KTN,AK,Ketchikan International,181,23,12.25,1.88,3.43,0,5.44,2,3,1746,929,324,112,0,381
1,Key West,EYW,FL,Key West International,187,29,9.71,3.73,5.97,0,9.58,3,3,2686,1339,409,289,0,649
1,Killeen,GRK,TX,Robert Gray AAF,100,21,10.23,0,4.03,0,6.74,0,2,2279,1760,0,117,0,402
1,Knoxville,TYS,TN,McGhee Tyson,547,140,63.67,2.92,27.86,0,45.53,11,3,10510,5415,255,1236,0,3604
1,Kodiak,ADQ,AK,Kodiak Airport,42,8,2.71,0,2.38,0,2.9,2,0,337,111,0,59,0,167
1,Kona,KOA,HI,Ellison Onizuka Kona International at Keahole,997,161,67.28,1.89,56.97,0,34.87,4,2,7818,3330,208,2201,0,2079
1,Kotzebue,OTZ,AK,Ralph Wien Memorial,61,15,5.43,1,7.94,0.63,0,5,0,508,223,34,241,10,0
1,La Crosse,LSE,WI,La Crosse Regional,11,2,0,0,2,0,0,1,1,59,0,0,59,0,0
