month,Cold,Fog,Hail,Precipitation,Rain,Snow,Storm,EventTotal,Avg_Severity,LocationLat,LocationLng,City,County,State,ZipCode
1,2.0,6.0,0.0,0.0,12.0,0.0,0.0,20,2.1,26.9688,-99.2489,Zapata,Zapata County,TX,
1,0.0,10.0,0.0,0.0,7.0,0.0,0.0,17,2.7058823529411766,30.7873,-98.6608,Llano,Llano,TX,78643.0
1,11.0,36.0,0.0,0.0,5.0,31.0,0.0,83,2.36144578313253,45.2249,-96.0041,Appleton,Swift,MN,56208.0
1,0.0,0.0,0.0,1.0,6.0,0.0,0.0,7,1.1428571428571428,34.3983,-96.1481,Atoka,Atoka,OK,74525.0
1,0.0,21.0,0.0,2.0,55.0,2.0,0.0,80,1.9375,31.4,-93.2833,Florien,Sabine,LA,71429.0
1,0.0,6.0,0.0,0.0,38.0,37.0,0.0,81,1.308641975308642,42.6973,-73.1696,North Adams,Berkshire,MA,1247.0
1,0.0,21.0,0.0,6.0,40.0,7.0,0.0,74,1.837837837837838,30.0292,-91.8845,New Iberia,Iberia,LA,70560.0
1,0.0,23.0,0.0,1.0,32.0,56.0,0.0,112,1.6339285714285714,42.224,-83.7397,Ann Arbor,Washtenaw,MI,48108.0
1,1.0,0.0,0.0,3.0,2.0,0.0,0.0,6,1.6666666666666667,36.1256,-90.9215,Walnut Ridge,Lawrence,AR,72476.0
1,4.0,38.0,0.0,0.0,13.0,61.0,39.0,155,2.2838709677419353,41.6,-106.21,Rock River,Carbon,WY,82083.0
1,24.0,24.0,0.0,0.0,37.0,0.0,0.0,85,2.4235294117647057,29.2543,-96.1544,Wharton,Wharton,TX,77488.0
1,0.0,29.0,0.0,0.0,25.0,15.0,2.0,71,1.943661971830986,41.7713,-88.4815,Sugar Grove,Kane,IL,60554.0
1,1.0,25.0,0.0,0.0,36.0,59.0,0.0,121,1.578512396694215,43.9888,-76.0262,Hounsfield,Jefferson,NY,13634.0
1,6.0,24.0,0.0,0.0,5.0,72.0,0.0,107,1.719626168224299,45.9264,-89.7307,Woodruff,Vilas,WI,54568.0
1,0.0,116.0,0.0,0.0,52.0,0.0,0.0,168,1.869047619047619,32.4122,-80.6344,Beaufort,Beaufort,SC,29907.0
1,2.0,23.0,0.0,1.0,76.0,1.0,0.0,103,2.1359223300970873,30.3433,-89.8222,Slidell,St. Tammany,LA,70460.0
1,1.0,24.0,0.0,0.0,4.0,66.0,0.0,95,1.6736842105263159,39.2299,-106.8705,Aspen,Pitkin,CO,81611.0
1,0.0,9.0,0.0,0.0,3.0,0.0,1.0,13,2.8461538461538463,36.1802,-94.1175,Springdale,Washington,AR,72764.0
1,0.0,2.0,0.0,0.0,32.0,20.0,0.0,54,1.1851851851851851,42.7798,-71.5141,Nashua,Hillsborough,NH,3063.0
1,0.0,56.0,0.0,0.0,69.0,19.0,0.0,144,1.8402777777777777,36.2975,-77.1708,Aulander,Hertford,NC,27805.0
1,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7,1.0,32.5205,-94.3078,Marshall,Harrison,TX,75672.0
